,vendorid,passenger_count,trip_distance,ratecodeid,store_and_fwd_flag,pulocationid,dolocationid,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,Duration
36,2,5,0.0,5,N,265,265,1,52.0,0.0,0.0,10.46,0.0,0.3,62.76,0
37,2,2,20.23,5,N,138,265,1,100.0,0.0,0.5,21.31,5.76,0.3,127.87,29
38,2,5,2.28,1,N,148,209,2,12.5,0.5,0.5,0.0,0.0,0.3,13.8,16
39,2,1,0.32,1,N,142,48,1,4.5,0.5,0.5,5.0,0.0,0.3,10.8,3
40,2,1,1.23,1,N,113,113,1,7.0,0.5,0.5,1.66,0.0,0.3,9.96,7
41,2,1,0.92,1,N,239,142,2,5.5,0.5,0.5,0.0,0.0,0.3,6.8,4
42,2,1,1.65,1,N,236,238,1,8.5,0.5,0.5,1.96,0.0,0.3,11.76,9
43,2,5,11.76,1,N,132,188,1,35.5,0.5,0.5,7.36,0.0,0.3,44.16,32
44,2,1,0.25,1,N,142,143,2,3.0,0.5,0.5,0.0,0.0,0.3,4.3,0
45,1,2,0.9,1,N,148,114,1,9.5,0.5,0.5,50.0,0.0,0.3,60.8,13
46,1,2,0.4,1,N,264,264,2,5.0,0.5,0.5,0.0,0.0,0.3,6.3,4
47,4,1,0.79,1,N,170,90,1,6.5,0.5,0.5,1.56,0.0,0.3,9.36,7
48,2,1,1.0,1,N,140,263,2,5.5,0.5,0.5,0.0,0.0,0.3,6.8,4
49,1,2,1.3,1,N,142,237,2,8.0,0.5,0.5,0.0,0.0,0.3,9.3,8
50,2,6,1.82,1,N,231,90,1,8.5,0.5,0.5,1.96,0.0,0.3,11.76,9
51,2,1,0.86,1,N,113,234,2,6.5,0.5,0.5,0.0,0.0,0.3,7.8,8
52,1,1,3.4,1,N,48,148,1,18.0,0.5,0.5,3.85,0.0,0.3,23.15,27
53,2,1,4.3,1,N,244,74,2,18.0,0.5,0.5,0.0,0.0,0.3,19.3,23
54,1,0,0.9,1,N,129,173,2,6.5,0.5,0.5,0.0,0.0,0.3,7.8,7
55,1,0,0.7,1,N,74,75,2,4.0,0.5,0.5,0.0,0.0,0.3,5.3,2
56,2,1,1.13,1,N,234,246,1,14.5,0.5,0.5,0.0,0.0,0.3,15.8,1420
57,1,2,3.3,1,N,264,264,1,16.5,0.5,0.5,2.2,0.0,0.3,20.0,22
58,2,6,1.18,1,N,151,166,2,6.0,0.5,0.5,0.0,0.0,0.3,7.3,3
59,2,1,4.6,1,N,79,262,1,19.0,0.5,0.5,4.06,0.0,0.3,24.36,25
60,2,1,2.38,1,N,68,148,1,11.5,0.5,0.5,3.84,0.0,0.3,16.64,14
61,2,1,0.4,1,N,261,87,2,4.5,0.5,0.5,0.0,0.0,0.3,5.8,3
62,1,4,23.8,1,N,138,265,2,62.5,0.5,0.5,0.0,16.26,0.3,80.06,40
63,2,1,3.21,1,N,161,74,2,13.0,0.5,0.5,0.0,0.0,0.3,14.3,14
64,1,1,5.1,1,N,186,24,1,25.0,0.5,0.5,0.0,0.0,0.3,26.3,35
65,2,5,2.33,1,N,233,140,2,9.5,0.5,0.5,0.0,0.0,0.3,10.8,9
66,2,1,2.5,1,N,246,234,1,10.0,0.5,0.5,2.26,0.0,0.3,13.56,9
67,2,1,0.78,1,N,79,79,1,6.0,0.5,0.5,1.46,0.0,0.3,8.76,7
68,2,5,1.06,1,N,231,148,1,6.5,0.5,0.5,1.56,0.0,0.3,9.36,7
69,1,1,3.0,1,N,48,238,2,12.0,0.5,0.5,0.0,0.0,0.3,13.3,12
70,1,1,9.3,1,N,144,42,2,28.0,0.5,0.5,0.0,0.0,0.3,29.3,21
71,2,1,0.42,1,N,239,142,1,3.5,0.5,0.5,0.96,0.0,0.3,5.76,1
72,2,1,1.15,1,N,68,249,1,7.0,0.5,0.5,0.0,0.0,0.3,8.3,8
73,1,2,2.8,1,N,79,66,1,12.0,0.5,0.5,2.65,0.0,0.3,15.95,11
74,2,2,2.21,1,N,142,142,1,13.0,0.5,0.5,3.58,0.0,0.3,17.88,18
75,1,2,1.1,1,N,263,239,1,6.5,0.5,0.5,1.2,0.0,0.3,9.0,5
76,1,1,2.5,1,N,239,152,2,10.0,0.5,0.5,0.0,0.0,0.3,11.3,9
77,1,2,2.4,1,N,186,163,1,14.5,0.5,0.5,0.0,0.0,0.3,15.8,22
